user_id	movie_id	rate	predict
1	6	5	4.0
1	10	3	5.531284475965327
1	12	5	4.551235746884325
1	14	5	4.419512195121952
1	17	3	3.3336870370370373
1	20	4	3.6248295946890283
1	23	4	4.22956460250059
1	24	3	5.7087624209575445
1	27	2	4.618518518518518
1	31	3	5.231561996779389
1	33	4	4.961375661375662
1	36	2	4.199999999999999
1	39	4	5.164672364672365
1	44	5	4.0
1	47	4	3.79736225071225
1	49	3	4.047490481135341
1	51	4	5.068518518518518
1	53	3	5.318518518518518
1	54	3	4.0
1	56	4	4.9706924315619965
1	60	5	5.452972300031124
1	61	4	3.9898661753590328
1	62	3	2.0
1	64	5	4.570171840225877
1	65	4	3.0
1	67	3	4.735185185185186
1	69	3	3.9368421052631586
1	70	3	4.0
1	72	4	4.0
1	73	3	2.0
1	74	1	5.080423280423281
1	76	4	4.718518518518518
1	78	1	2.6915930199430202
1	80	4	5.247089947089947
1	81	5	4.0
1	82	5	4.0
1	84	4	2.0
1	85	3	3.1318548857368005
1	86	5	4.954882154882155
1	90	4	5.56851851851852
1	91	5	3.754826396735719
1	92	3	4.0
1	96	5	4.144798148148148
1	97	3	4.0
1	98	4	5.193518518518518
1	100	5	4.261992240975152
1	102	2	3.0
1	103	1	4.718518518518518
1	104	1	1.819798148148148
1	107	4	3.6682829966329966
1	108	5	4.0
1	112	1	2.653131481481482
1	113	5	5.124970131421744
1	114	5	3.8296296296296295
1	117	3	5.040740740740741
1	118	3	5.961375661375662
1	120	1	4.0
1	121	4	4.0
1	125	3	3.7137375420875425
1	128	4	4.896949891067539
1	129	5	4.185185185185185
1	130	3	5.0
1	132	4	4.198131481481482
1	134	4	5.0
1	140	1	3.4388457671957666
1	143	1	3.9333333333333336
1	145	2	2.67236225071225
1	148	2	3.432201248923342
1	150	5	5.118518518518519
1	151	4	5.0
1	154	5	3.830054558404558
1	155	2	3.954882154882154
1	157	4	3.8400001683501688
1	159	3	3.288933950617284
1	160	4	3.58170291005291
1	161	4	3.5982181866837935
1	163	4	3.6670203703703703
1	164	3	5.3791245791245785
1	170	5	4.278131481481482
1	171	5	4.0995600529100535
1	174	5	3.0
1	175	5	5.144605475040258
1	177	5	3.9548556194125157
1	180	3	5.171459694989107
1	183	5	4.144162871616011
1	184	4	4.0
1	185	4	5.193518518518518
1	186	4	4.651851851851852
1	188	3	3.8448608047897523
1	189	3	4.1739648148148145
1	190	5	4.707407407407407
1	193	4	4.0
1	196	5	3.438095238095238
1	200	3	5.0
1	201	3	3.0
1	202	5	3.0
1	206	4	3.1973063973063973
1	208	5	3.9272727272727277
1	209	4	5.0
1	210	4	5.0
1	212	4	3.778131481481482
1	213	2	4.182257695073716
1	214	4	3.497959067688378
1	215	3	3.8237901641162124
1	218	3	4.924579124579125
1	219	1	5.44351851851852
1	221	5	4.93297634984382
1	222	4	3.7891859032501887
1	224	5	3.800190305010893
